latitude,longitude,id,name,docks
40.740821,-73.931471,motivate_BKN_f523c481-ba41-44ba-96e1-0c431fbea558,34 St & 48 Ave,24
40.842941,-73.938631,motivate_BKN_d73e26de-8534-4b46-a321-3cae295ef9b2,W 171 St & St. Nicholas Ave,16
40.690081,-73.947915,motivate_BKN_66dcc0b2-0aca-11e7-82f6-3863bb44ef7c,Marcy Ave & Lafayette Ave,20
40.67486,-73.91123,motivate_BKN_4568f854-1268-45cf-bac8-82286ef40ae6,Dean St & Rockaway Ave,20
40.757357,-73.904726,motivate_BKN_499e10ad-c008-461e-8cf7-20757218a9cc,31 Ave & 57 St,22
40.75311,-73.927991,motivate_BKN_12279d2b-29f6-4e02-a7f0-244970f7edd5,37 Ave & 35 St,20
40.676969,-73.96579,motivate_BKN_69f84045-48f9-4c6c-90d3-0503e5ed39e9,Prospect Pl & Underhill Ave,14
40.6786,-73.90369,motivate_BKN_ef6216aa-d3c8-46bb-8c6b-b62f8ba51b16,Van Sinderen Ave & Truxton St,19
40.679194,-73.95879,motivate_BKN_292ad4f3-9fb0-44ec-9e61-613c711f73c1,Pacific St & Classon Ave,15
40.757632,-73.969305,motivate_BKN_66dea7b5-0aca-11e7-82f6-3863bb44ef7c,E 53 St & 3 Ave,38
40.674705,-74.007557,motivate_BKN_66de0cab-0aca-11e7-82f6-3863bb44ef7c,Columbia St & Lorraine St,34
40.72098,-73.90701,motivate_BKN_528ed1e0-75aa-45be-8afe-c3f1c950782f,Grand Ave & 58 Ave,16
40.703553,-74.006702,motivate_BKN_66db75cc-0aca-11e7-82f6-3863bb44ef7c,South St & Gouverneur Ln,41
40.784903,-73.950503,motivate_BKN_66de0861-0aca-11e7-82f6-3863bb44ef7c,E 95 St & 3 Ave,17
40.827133,-73.922735,motivate_BKN_1f8f6714-42a7-45d5-86cd-a093c940b2c9,Grand Concourse & E 161 St,20
40.78141,-73.955959,motivate_BKN_66dde103-0aca-11e7-82f6-3863bb44ef7c,E 88 St & Park Ave,22
40.74261,-73.903,motivate_BKN_a45a712c-1e3d-4fee-bef8-adafafd80670,62 St & 43 Ave,16
40.87387,-73.89533,motivate_BKN_f681f980-185d-45b9-8490-bb2606624dd4,Goulden Ave & Bedford Park Blvd W,15
40.738274,-73.987519,motivate_BKN_66dc7773-0aca-11e7-82f6-3863bb44ef7c,E 20 St & Park Ave,32
40.67709,-73.9008,motivate_BKN_038b7369-9c6e-4eb2-8569-f7461443302f,Fulton St & Williams Ave,13
40.87207,-73.88459,motivate_BKN_1096fc76-794e-4343-8eb0-0dd6c9a48266,E 201 St & Briggs Ave,15
40.744697,-73.935403,motivate_BKN_66dd24ca-0aca-11e7-82f6-3863bb44ef7c,31 St & Thomson Ave,46
40.809495,-73.947764,motivate_BKN_18eccc71-66be-4e4c-8335-095a9bf0df94,Adam Clayton Powell Blvd & W 126 St,30
40.69676,-73.92302,motivate_BKN_372c592e-09d8-400c-9595-2aa3510f39b0,Central Ave & Himrod St,18
40.78813,-73.95206,motivate_BKN_66dde76a-0aca-11e7-82f6-3863bb44ef7c,E 98 St & Park Ave,21
40.717411,-73.999573,motivate_BKN_32cc1603-a4b5-4099-b7bf-681de451b04a,Walker St & Baxter St,42
40.775655,-73.950686,motivate_BKN_66dd45c7-0aca-11e7-82f6-3863bb44ef7c,E 84 St & 1 Ave,23
40.80295,-73.942954,motivate_BKN_bacfe3c2-7946-45ed-91f9-f5b91791de75,Madison Ave & E 120 St,23
40.856487,-73.932969,motivate_BKN_8d650b03-920d-4d44-a48f-8d9a1a0ba264,W 190 St & Broadway,15
40.74399,-73.86781,motivate_BKN_1848241684520917882,46 Ave & Junction Blvd,10
40.827075,-73.945909,motivate_BKN_3134c2d4-b090-4eb8-ab44-6f9622098f72,W 148 St & Amsterdam Ave,10
40.66219,-73.94293,motivate_BKN_1835250442210857240,Kingston Ave & E New York Ave,17
40.83545,-73.90153,motivate_BKN_bf880f45-422c-4e0b-b3b0-2b1f5ba94da4,Fulton Ave & St. Paul's Pl,16
40.707087,-73.957967,motivate_BKN_66dce9b5-0aca-11e7-82f6-3863bb44ef7c,Division Ave & Marcy Ave,31
40.69146,-73.92146,motivate_BKN_74723006-b32f-4590-8cc7-f15eec3808fe,Bushwick Ave & Linden St,21
40.794165,-73.974124,motivate_BKN_66ddeaff-0aca-11e7-82f6-3863bb44ef7c,West End Ave & W 94 St,22
40.763328,-73.908782,motivate_BKN_37a37e5b-f975-4f92-a897-dca8e4670631,46 St & 28 Ave,19
40.805726,-73.936322,motivate_BKN_5f63411c-91ce-4788-a567-d388cc812a15,Lexington Ave & E 127 St,18
40.74087,-73.86772,motivate_BKN_1848241791125254746,51 Ave & Junction Blvd,19
40.64575,-73.94331,motivate_BKN_1815968237323833702,Brooklyn Ave & Beverley Rd,18
40.847798,-73.901883,motivate_BKN_62f8f806-bd04-4282-9c5d-ad4293644e3c,E Tremont Ave & E 176 St,15
40.703661,-74.013181,motivate_BKN_c1a4d909-0a00-475a-8e82-18ed13a4eb01,Whitehall St & Bridge St,41
